Antibody_Name,Format_Folder,Source_File,Sequence_Length_Total_AA,pI,MW,Polar_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity,AA_A_Pct,AA_C_Pct,AA_D_Pct,AA_E_Pct,AA_F_Pct,AA_G_Pct,AA_H_Pct,AA_I_Pct,AA_K_Pct,AA_L_Pct,AA_M_Pct,AA_N_Pct,AA_P_Pct,AA_Q_Pct,AA_R_Pct,AA_S_Pct,AA_T_Pct,AA_V_Pct,AA_W_Pct,AA_Y_Pct
lofacimig,Bispecific_scFv,lofacimig.py,255,4.589,27439.742,0.576,-0.368,-0.359,1.650,901.961,313.725,509.804,470.588,196.078,1098.039,39.216,156.863,274.510,666.667,196.078,313.725,156.863,588.235,352.941,1333.333,823.529,627.451,235.294,745.098
lorigerlimab,Bispecific_scFv,lorigerlimab.py,456,8.051,49836.079,0.539,-0.321,-0.319,1.678,614.035,175.439,350.877,460.526,438.596,964.912,109.649,307.018,416.667,701.754,131.579,175.439,482.456,614.035,438.596,1381.579,789.474,701.754,263.158,482.456
mipletamig,Bispecific_scFv,mipletamig.py,465,8.774,50854.042,0.570,-0.433,-0.431,1.678,580.645,172.043,451.613,301.075,301.075,924.731,64.516,322.581,516.129,602.151,193.548,279.570,473.118,580.645,387.097,1483.871,795.699,666.667,236.559,666.667
nebratamig1,Bispecific_scFv,nebratamig1.py,453,8.453,48293.170,0.541,-0.271,-0.268,1.833,728.477,176.600,463.576,264.901,242.826,1169.978,66.225,419.426,397.351,662.252,176.600,286.976,353.201,507.726,419.426,1434.879,772.627,662.252,176.600,618.102
nebratamig2,Bispecific_scFv,nebratamig2.py,467,6.254,50019.144,0.529,-0.193,-0.191,1.511,706.638,171.306,492.505,299.786,321.199,1156.317,42.827,513.919,364.026,749.465,128.480,342.612,299.786,492.505,406.852,1306.210,835.118,620.985,214.133,535.332
nivatrotamab,Bispecific_scFv,nivatrotamab.py,448,8.916,49535.698,0.567,-0.381,-0.381,1.856,513.393,223.214,401.786,245.536,379.464,937.500,89.286,401.786,357.143,535.714,178.571,334.821,424.107,691.964,491.071,1316.964,848.214,714.286,245.536,669.643
obertamig,Bispecific_scFv,obertamig.py,468,9.134,51199.366,0.573,-0.376,-0.377,1.944,534.188,170.940,384.615,213.675,235.043,811.966,85.470,384.615,384.615,811.966,21.368,384.615,491.453,705.128,448.718,1538.462,833.333,705.128,277.778,576.923
obrindatamab,Bispecific_scFv,obrindatamab.py,463,8.892,50472.613,0.538,-0.310,-0.312,1.440,755.940,172.786,388.769,302.376,367.171,1079.914,43.197,280.778,388.769,734.341,86.393,410.367,345.572,539.957,475.162,1144.708,842.333,712.743,259.179,669.546
ompekimig1,Bispecific_scFv,ompekimig1.py,461,5.458,50572.682,0.557,-0.387,-0.384,1.544,520.607,173.536,520.607,433.839,390.456,911.063,65.076,325.380,433.839,759.219,151.844,281.996,477.223,520.607,412.148,1323.210,911.063,629.067,260.304,498.915
opamistomig,Bispecific_scFv,opamistomig.py,461,8.786,50399.385,0.581,-0.350,-0.355,1.756,477.223,216.920,368.764,260.304,303.688,997.831,65.076,325.380,433.839,629.067,108.460,281.996,368.764,629.067,368.764,1561.822,824.295,759.219,216.920,802.603
opugotamig,Bispecific_scFv,opugotamig.py,455,7.991,49783.212,0.554,-0.311,-0.309,1.678,593.407,219.780,373.626,417.582,373.626,923.077,153.846,395.604,439.560,725.275,197.802,219.780,417.582,659.341,395.604,1384.615,747.253,637.363,197.802,527.473
ozoralizumab,Bispecific_scFv,ozoralizumab.py,230,8.685,24703.353,0.526,-0.209,-0.198,1.650,521.739,173.913,347.826,391.304,347.826,1173.913,0.000,260.870,304.348,913.043,173.913,391.304,347.826,434.783,565.217,1478.261,739.130,782.609,217.391,434.783
pacanalotamab,Bispecific_scFv,pacanalotamab.py,462,8.573,50582.888,0.545,-0.364,-0.366,1.440,627.706,173.160,367.965,346.320,281.385,1060.606,108.225,303.030,454.545,692.641,129.870,389.610,432.900,584.416,367.965,1017.316,952.381,757.576,259.740,692.641
pasotuxizumab,Bispecific_scFv,pasotuxizumab.py,462,8.671,50441.797,0.535,-0.292,-0.294,1.467,714.286,173.160,411.255,303.030,324.675,1082.251,43.290,303.030,454.545,735.931,129.870,367.965,389.610,541.126,389.610,1103.896,800.866,735.931,238.095,757.576
pasritamig,Bispecific_scFv,pasritamig.py,455,8.896,49378.682,0.545,-0.238,-0.239,1.744,527.473,175.824,329.670,285.714,395.604,1032.967,21.978,505.495,439.560,681.319,109.890,219.780,461.538,615.385,351.648,1494.505,901.099,593.407,241.758,615.385
pavurutamab,Bispecific_scFv,pavurutamab.py,462,8.509,50603.993,0.548,-0.345,-0.347,1.440,627.706,216.450,367.965,346.320,281.385,1038.961,108.225,303.030,454.545,692.641,129.870,389.610,432.900,562.771,367.965,1017.316,952.381,757.576,259.740,692.641
plamotamab,Bispecific_scFv,plamotamab.py,464,9.097,50047.325,0.528,-0.286,-0.278,1.678,732.759,172.414,301.724,301.724,301.724,1120.690,86.207,280.172,452.586,625.000,107.759,344.828,452.586,517.241,387.931,1206.897,883.621,818.966,280.172,625.000
podentamig1,Bispecific_scFv,podentamig1.py,234,8.865,25197.919,0.530,-0.231,-0.221,1.650,598.291,170.940,341.880,341.880,256.410,1111.111,85.470,341.880,341.880,854.701,128.205,384.615,384.615,512.821,512.821,1367.521,726.496,811.966,213.675,512.821
podentamig2,Bispecific_scFv,podentamig2.py,234,9.087,25381.164,0.513,-0.261,-0.265,1.522,769.231,170.940,256.410,341.880,299.145,1153.846,42.735,213.675,470.085,811.966,42.735,512.821,427.350,512.821,384.615,854.701,940.171,854.701,299.145,641.026
ragistomig,Bispecific_scFv,ragistomig.py,457,7.631,49739.773,0.556,-0.308,-0.310,1.440,656.455,218.818,503.282,306.346,284.464,962.801,43.764,371.991,328.228,765.864,131.291,218.818,415.755,547.046,503.282,1466.083,787.746,612.691,240.700,634.573
ramantamig1,Bispecific_scFv,ramantamig1.py,461,9.248,50432.139,0.560,-0.274,-0.275,1.944,455.531,173.536,390.456,238.612,303.688,780.911,108.460,368.764,390.456,889.371,108.460,281.996,520.607,629.067,498.915,1431.670,997.831,759.219,216.920,455.531
silevimig,Bispecific_scFv,silevimig.py,464,8.000,49965.859,0.547,-0.377,-0.379,1.711,646.552,193.966,517.241,280.172,344.828,1142.241,43.103,366.379,409.483,625.000,129.310,280.172,431.034,646.552,431.034,1271.552,840.517,646.552,193.966,560.345
solitomab,Bispecific_scFv,solitomab.py,458,7.999,50485.670,0.576,-0.457,-0.455,1.389,655.022,196.507,436.681,436.681,262.009,873.362,87.336,305.677,567.686,698.690,152.838,283.843,414.847,524.017,349.345,1244.541,960.699,589.520,283.843,676.856
surovatamig,Bispecific_scFv,surovatamig.py,346,8.446,37539.410,0.523,-0.275,-0.272,1.678,809.249,173.410,404.624,404.624,346.821,1127.168,28.902,289.017,346.821,780.347,144.509,260.116,289.017,578.035,549.133,1358.382,578.035,693.642,289.017,549.133
tarlatamab,Bispecific_scFv,tarlatamab.py,226,8.486,24805.514,0.558,-0.219,-0.220,1.744,486.726,265.487,309.735,353.982,309.735,884.956,0.000,442.478,309.735,884.956,0.000,265.487,530.973,575.221,486.726,1371.681,929.204,663.717,221.239,707.965
tarperprumig,Bispecific_scFv,tarperprumig.py,242,9.098,26428.386,0.529,-0.296,-0.286,2.089,950.413,165.289,371.901,454.545,247.934,950.413,82.645,289.256,454.545,785.124,123.967,371.901,289.256,537.190,619.835,1074.380,578.512,867.769,206.612,578.512
tebentafusp,Bispecific_scFv,tebentafusp.py,229,8.776,25304.974,0.559,-0.400,-0.396,1.722,567.686,174.672,436.681,305.677,305.677,1004.367,0.000,349.345,480.349,742.358,131.004,349.345,393.013,655.022,436.681,1179.039,829.694,655.022,262.009,742.358
tebotelimab,Bispecific_scFv,tebotelimab.py,455,5.728,49996.078,0.563,-0.391,-0.389,1.633,615.385,175.824,483.516,439.560,395.604,857.143,87.912,307.692,483.516,549.451,197.802,175.824,461.538,637.363,351.648,1296.703,923.077,747.253,241.758,571.429
tibulizumab,Bispecific_scFv,tibulizumab.py,461,8.807,50988.529,0.564,-0.326,-0.327,1.678,520.607,216.920,347.072,368.764,303.688,911.063,130.152,412.148,412.148,759.219,65.076,195.228,455.531,607.375,477.223,1279.826,889.371,694.143,238.612,715.835
tidutamab,Bispecific_scFv,tidutamab.py,468,8.590,51038.401,0.526,-0.282,-0.284,1.678,747.863,170.940,448.718,320.513,341.880,1089.744,42.735,256.410,405.983,811.966,128.205,384.615,363.248,470.085,470.085,1175.214,705.128,726.496,277.778,662.393
tixentamig,Bispecific_scFv,tixentamig.py,355,9.013,38556.704,0.521,-0.245,-0.248,1.440,788.732,169.014,366.197,338.028,309.859,1098.592,84.507,225.352,366.197,816.901,112.676,394.366,309.859,450.704,535.211,1070.423,901.408,816.901,309.859,535.211
trevotamig,Bispecific_scFv,trevotamig.py,457,8.829,50046.111,0.549,-0.360,-0.362,1.440,700.219,175.055,371.991,328.228,328.228,1028.446,109.409,284.464,393.873,722.101,131.291,393.873,328.228,525.164,459.519,1225.383,919.037,656.455,328.228,590.810
umizortamig1,Bispecific_scFv,umizortamig1.py,455,6.252,49562.686,0.547,-0.229,-0.227,1.933,527.473,175.824,439.560,329.670,395.604,989.011,43.956,571.429,373.626,725.275,131.868,373.626,351.648,527.473,373.626,1450.549,857.143,571.429,263.736,527.473
umizortamig2,Bispecific_scFv,umizortamig2.py,465,6.810,49861.009,0.531,-0.163,-0.161,1.944,838.710,258.065,473.118,258.065,387.097,1075.269,21.505,408.602,365.591,774.194,150.538,279.570,301.075,537.634,365.591,1462.366,709.677,516.129,236.559,580.645
velaprumig,Bispecific_scFv,velaprumig.py,457,8.715,49579.946,0.545,-0.314,-0.312,1.678,743.982,175.055,350.109,393.873,328.228,940.919,65.646,350.109,459.519,743.982,175.055,240.700,459.519,612.691,415.755,1356.674,809.628,612.691,196.937,568.928
vepsitamab,Bispecific_scFv,vepsitamab.py,460,8.954,49823.184,0.533,-0.300,-0.306,1.622,673.913,217.391,347.826,282.609,282.609,1086.957,21.739,239.130,521.739,782.609,65.217,391.304,456.522,565.217,326.087,1152.174,891.304,760.870,326.087,608.696
vibecotamab,Bispecific_scFv,vibecotamab.py,470,9.058,51307.826,0.543,-0.359,-0.354,1.489,723.404,170.213,361.702,340.426,319.149,1042.553,85.106,212.766,553.191,765.957,127.660,361.702,382.979,531.915,382.979,1127.660,872.340,723.404,276.596,638.298
vixtimotamab,Bispecific_scFv,vixtimotamab.py,467,8.994,50499.684,0.544,-0.350,-0.352,1.520,685.225,171.306,428.266,256.959,278.373,1049.251,21.413,299.786,428.266,642.398,171.306,449.679,385.439,556.745,449.679,1284.797,856.531,770.878,278.373,535.332
vobarilizumab,Bispecific_scFv,vobarilizumab.py,236,8.673,25121.840,0.521,-0.136,-0.126,1.867,635.593,169.492,381.356,381.356,296.610,1228.814,0.000,338.983,296.610,889.831,169.492,296.610,254.237,423.729,593.220,1483.051,720.339,805.085,169.492,466.102
vudalimab,Bispecific_scFv,vudalimab.py,455,8.604,50057.213,0.541,-0.339,-0.337,1.678,571.429,175.824,351.648,439.560,417.582,1120.879,65.934,285.714,351.648,769.231,87.912,307.692,395.604,505.495,549.451,1186.813,791.209,703.297,241.758,681.319
xaluritamig,Bispecific_scFv,xaluritamig.py,461,8.914,50219.511,0.529,-0.298,-0.300,1.678,715.835,173.536,281.996,412.148,368.764,1106.291,65.076,238.612,368.764,737.527,108.460,281.996,412.148,542.299,498.915,1171.367,889.371,737.527,281.996,607.375
xirestomig,Bispecific_scFv,xirestomig.py,462,8.037,48873.601,0.535,-0.269,-0.271,2.011,714.286,173.160,367.965,303.030,259.740,1190.476,21.645,367.965,367.965,627.706,151.515,324.675,411.255,606.061,346.320,1536.797,757.576,714.286,216.450,541.126
abciximab,Other_Formats,abciximab.py,225,5.923,24815.439,0.560,-0.253,-0.255,1.967,488.889,177.778,311.111,444.444,400.000,888.889,133.333,400.000,400.000,711.111,222.222,311.111,355.556,577.778,266.667,1377.778,977.778,666.667,266.667,622.222
acimtamig,Other_Formats,acimtamig.py,456,8.432,50195.089,0.579,-0.443,-0.441,1.944,592.105,175.439,372.807,307.018,307.018,964.912,131.579,307.018,416.667,504.386,197.368,372.807,372.807,701.754,350.877,1206.140,986.842,745.614,219.298,767.544
brivekimig1,Other_Formats,brivekimig1.py,248,9.174,26517.114,0.532,-0.279,-0.269,1.650,967.742,161.290,362.903,443.548,322.581,1129.032,0.000,241.935,322.581,564.516,80.645,241.935,241.935,403.226,725.806,1370.968,806.452,887.097,241.935,483.871
brivekimig2,Other_Formats,brivekimig2.py,115,8.743,12138.379,0.530,-0.197,-0.177,1.650,434.783,173.913,347.826,347.826,347.826,1304.348,0.000,260.870,260.870,869.565,173.913,260.870,347.826,434.783,608.696,1826.087,695.652,782.609,173.913,347.826
caplacizumab,Other_Formats,caplacizumab.py,128,9.070,13842.309,0.508,-0.349,-0.336,1.478,937.500,156.250,312.500,546.875,312.500,1250.000,0.000,156.250,156.250,625.000,234.375,234.375,390.625,468.750,937.500,1015.625,703.125,859.375,156.250,546.875
certolizumab,Other_Formats,certolizumab.py,225,7.827,24620.311,0.529,-0.228,-0.223,1.733,711.111,177.778,400.000,311.111,355.556,1066.667,0.000,400.000,400.000,666.667,222.222,266.667,400.000,622.222,355.556,1155.556,800.000,666.667,222.222,800.000
clesitamig,Other_Formats,clesitamig.py,469,7.149,51312.761,0.535,-0.254,-0.254,1.167,660.981,170.576,405.117,341.151,362.473,980.810,149.254,362.473,405.117,724.947,106.610,213.220,469.083,618.337,341.151,1172.708,852.878,746.269,234.542,682.303
idarucizumab,Other_Formats,idarucizumab.py,234,8.577,25469.377,0.534,-0.121,-0.123,1.644,470.085,170.940,427.350,256.410,341.880,982.906,85.470,384.615,470.085,940.171,42.735,128.205,470.085,512.821,341.880,1410.256,854.701,811.966,213.675,683.761
lunsekimig1,Other_Formats,lunsekimig1.py,249,8.585,27110.775,0.538,-0.335,-0.326,1.650,642.570,160.643,401.606,361.446,401.606,1204.819,40.161,120.482,321.285,763.052,160.643,401.606,321.285,441.767,562.249,1285.141,682.731,803.213,200.803,722.892
lunsekimig2,Other_Formats,lunsekimig2.py,232,5.575,24650.118,0.526,-0.159,-0.149,1.650,517.241,172.414,344.828,474.138,301.724,1336.207,0.000,431.034,172.414,818.966,172.414,387.931,215.517,431.034,603.448,1508.621,732.759,775.862,172.414,431.034
lunsekimig3,Other_Formats,lunsekimig3.py,127,4.420,13978.137,0.559,-0.408,-0.389,1.650,551.181,314.961,866.142,551.181,472.441,1102.362,78.740,314.961,236.220,551.181,78.740,393.701,314.961,393.701,551.181,1023.622,551.181,866.142,157.480,629.921
moxetumomab,Other_Formats,moxetumomab.py,229,5.912,25106.810,0.555,-0.205,-0.205,1.811,524.017,262.009,436.681,349.345,349.345,1048.035,131.004,436.681,393.013,873.362,174.672,262.009,262.009,524.017,305.677,1266.376,960.699,524.017,262.009,655.022
ranibizumab,Other_Formats,ranibizumab.py,230,6.338,25471.977,0.557,-0.325,-0.321,1.722,565.217,173.913,434.783,304.348,434.783,956.522,130.435,304.348,391.304,695.652,86.957,217.391,434.783,608.696,304.348,1260.870,956.522,652.174,304.348,782.609
sonelokimab1,Other_Formats,sonelokimab1.py,238,7.792,25572.133,0.534,-0.218,-0.208,1.650,546.218,168.067,336.134,504.202,420.168,1260.504,0.000,294.118,252.101,840.336,126.050,252.101,252.101,462.185,630.252,1554.622,672.269,756.303,168.067,504.202
sonelokimab2,Other_Formats,sonelokimab2.py,122,5.040,13409.631,0.549,-0.484,-0.464,1.650,819.672,163.934,655.738,491.803,163.934,1147.541,0.000,163.934,245.902,819.672,163.934,409.836,245.902,409.836,737.705,983.607,655.738,737.705,245.902,737.705
tilrekimig1,Other_Formats,tilrekimig1.py,461,5.458,50572.682,0.557,-0.387,-0.384,1.544,520.607,173.536,520.607,433.839,390.456,911.063,65.076,325.380,433.839,759.219,151.844,281.996,477.223,520.607,412.148,1323.210,911.063,629.067,260.304,498.915
tilrekimig2,Other_Formats,tilrekimig2.py,230,8.332,25303.994,0.522,-0.377,-0.379,1.440,695.652,173.913,521.739,304.348,260.870,1043.478,217.391,260.870,391.304,608.696,173.913,347.826,434.783,565.217,521.739,1000.000,652.174,956.522,347.826,521.739
abagovomab,Whole_mAb,abagovomab.py,452,8.973,49120.327,0.549,-0.386,-0.387,1.044,796.460,176.991,265.487,398.230,309.735,1150.442,221.239,398.230,663.717,752.212,88.496,221.239,309.735,663.717,221.239,1194.690,796.460,442.478,265.487,663.717
abelacimab,Whole_mAb,abelacimab.py,464,8.027,49610.265,0.543,-0.282,-0.285,1.567,646.552,172.414,431.034,258.621,301.724,1163.793,0.000,258.621,301.724,862.069,86.207,301.724,387.931,603.448,431.034,1637.931,646.552,646.552,215.517,646.552
actoxumab,Whole_mAb,actoxumab.py,458,8.512,50055.467,0.520,-0.217,-0.215,1.844,655.022,174.672,480.349,262.009,393.013,1004.367,87.336,436.681,349.345,611.354,174.672,262.009,349.345,655.022,480.349,1353.712,655.022,829.694,349.345,436.681
adalimumab,Whole_mAb,adalimumab.py,456,8.481,49754.974,0.548,-0.287,-0.285,1.856,833.333,175.439,482.456,307.018,263.158,877.193,87.719,394.737,350.877,789.474,131.579,263.158,350.877,614.035,526.316,1315.789,745.614,657.895,219.298,614.035
adebrelimab,Whole_mAb,adebrelimab.py,460,7.187,50413.582,0.561,-0.422,-0.420,1.678,652.174,173.913,347.826,478.261,347.826,913.043,173.913,304.348,434.783,565.217,217.391,260.870,478.261,608.696,391.304,1217.391,956.522,695.652,217.391,565.217
aducanumab,Whole_mAb,aducanumab.py,462,9.452,50390.050,0.545,-0.317,-0.315,1.844,649.351,173.160,432.900,216.450,346.320,1038.961,43.290,389.610,476.190,649.351,173.160,173.160,389.610,606.061,562.771,1341.991,822.511,692.641,216.450,606.061
afimkibart,Whole_mAb,afimkibart.py,462,8.908,50856.113,0.554,-0.420,-0.418,1.678,779.221,173.160,346.320,389.610,216.450,995.671,43.290,303.030,303.030,606.061,216.450,216.450,389.610,649.351,606.061,1168.831,952.381,649.351,303.030,692.641
alemtuzumab,Whole_mAb,alemtuzumab.py,456,9.204,50362.031,0.561,-0.386,-0.387,1.211,482.456,175.439,438.596,263.158,438.596,833.333,87.719,438.596,482.456,701.754,131.579,350.877,526.316,701.754,482.456,1096.491,1052.632,657.895,175.439,482.456
alirocumab,Whole_mAb,alirocumab.py,462,8.067,50547.594,0.550,-0.356,-0.354,1.678,562.771,173.160,476.190,303.030,346.320,1038.961,43.290,346.320,346.320,822.511,129.870,519.481,346.320,562.771,476.190,1255.411,779.221,649.351,259.740,562.771
amlenetug,Whole_mAb,amlenetug.py,448,8.091,48563.379,0.540,-0.321,-0.319,1.678,758.929,178.571,401.786,401.786,357.143,1026.786,0.000,312.500,267.857,848.214,89.286,178.571,401.786,669.643,580.357,1428.571,803.571,535.714,267.857,491.071
amlitelimab,Whole_mAb,amlitelimab.py,468,8.769,50565.863,0.547,-0.238,-0.236,1.844,598.291,170.940,427.350,256.410,384.615,982.906,42.735,384.615,299.145,641.026,213.675,299.145,384.615,598.291,512.821,1495.726,854.701,769.231,170.940,512.821
andecaliximab,Whole_mAb,andecaliximab.py,444,8.671,48842.338,0.568,-0.309,-0.310,1.600,405.405,180.180,450.450,270.270,225.225,945.946,90.090,405.405,540.541,765.766,180.180,270.270,405.405,585.586,315.315,1216.216,1036.036,765.766,225.225,720.721
anifrolumab,Whole_mAb,anifrolumab.py,450,6.968,49226.648,0.538,-0.257,-0.255,1.678,666.667,177.778,444.444,444.444,355.556,977.778,44.444,666.667,400.000,711.111,133.333,44.444,444.444,622.222,488.889,1377.778,755.556,444.444,222.222,577.778
anselamimab,Whole_mAb,anselamimab.py,446,8.744,48612.255,0.543,-0.194,-0.195,1.433,179.372,179.372,448.430,224.215,358.744,986.547,134.529,358.744,493.274,1076.233,89.686,313.901,493.274,582.960,313.901,1479.821,807.175,807.175,224.215,448.430
ansuvimab,Whole_mAb,ansuvimab.py,452,8.541,48257.638,0.509,-0.120,-0.118,2.189,884.956,176.991,486.726,265.487,309.735,1017.699,132.743,442.478,309.735,796.460,176.991,265.487,353.982,530.973,530.973,1327.434,663.717,752.212,176.991,398.230
arcitumomab,Whole_mAb,arcitumomab.py,454,9.251,49660.940,0.559,-0.382,-0.380,1.278,660.793,176.211,264.317,396.476,352.423,1013.216,88.106,352.423,484.581,704.846,132.159,220.264,440.529,440.529,484.581,1409.692,969.163,484.581,264.317,660.793
astegolimab,Whole_mAb,astegolimab.py,456,5.150,49742.700,0.561,-0.385,-0.382,1.040,482.456,175.439,570.175,307.018,350.877,1008.772,43.860,570.175,526.316,570.175,175.439,263.158,438.596,701.754,219.298,1359.649,877.193,526.316,263.158,570.175
atezolizumab,Whole_mAb,atezolizumab.py,450,8.069,48941.964,0.524,-0.232,-0.230,1.956,800.000,177.778,444.444,266.667,400.000,1022.222,133.333,355.556,355.556,666.667,88.889,88.889,444.444,622.222,400.000,1333.333,800.000,666.667,311.111,622.222
atigotatug,Whole_mAb,atigotatug.py,458,8.036,50219.205,0.568,-0.373,-0.371,1.378,567.686,174.672,480.349,349.345,349.345,960.699,0.000,393.013,393.013,567.686,174.672,218.341,393.013,611.354,480.349,1484.716,786.026,698.690,218.341,698.690
atisnolerbart,Whole_mAb,atisnolerbart.py,456,8.482,50033.184,0.535,-0.291,-0.289,1.678,701.754,175.439,307.018,394.737,438.596,1008.772,43.860,394.737,350.877,614.035,131.579,175.439,394.737,701.754,438.596,1403.509,789.474,614.035,350.877,570.175
avelumab,Whole_mAb,avelumab.py,460,8.735,48974.033,0.548,-0.180,-0.182,1.520,565.217,173.913,347.826,260.870,260.870,1130.435,43.478,391.304,347.826,695.652,173.913,304.348,347.826,478.261,391.304,1565.217,956.522,782.609,173.913,608.696
balstilimab,Whole_mAb,balstilimab.py,440,9.121,47966.944,0.541,-0.330,-0.328,1.678,772.727,181.818,272.727,363.636,318.182,1000.000,90.909,318.182,318.182,681.818,136.364,363.636,363.636,681.818,545.455,1318.182,727.273,727.273,272.727,545.455
bamlanivimab,Whole_mAb,bamlanivimab.py,464,9.207,50628.176,0.565,-0.297,-0.294,2.011,818.966,172.414,301.724,301.724,258.621,862.069,43.103,517.241,474.138,517.241,172.414,86.207,387.931,775.862,431.034,1465.517,818.966,646.552,172.414,775.862
barzolvolimab,Whole_mAb,barzolvolimab.py,446,9.259,49112.253,0.574,-0.431,-0.429,1.467,762.332,179.372,448.430,269.058,403.587,896.861,0.000,358.744,627.803,448.430,89.686,269.058,403.587,582.960,448.430,1165.919,941.704,717.489,179.372,807.175
basiliximab,Whole_mAb,basiliximab.py,442,9.104,48541.536,0.588,-0.480,-0.481,1.133,769.231,180.995,271.493,361.991,271.493,904.977,135.747,361.991,542.986,452.489,316.742,90.498,361.991,633.484,361.991,1628.959,904.977,407.240,271.493,769.231
bavituximab,Whole_mAb,bavituximab.py,454,6.367,49640.480,0.590,-0.442,-0.443,0.789,440.529,176.211,528.634,396.476,264.317,969.163,132.159,308.370,616.740,837.004,132.159,176.211,352.423,528.634,264.317,1674.009,704.846,572.687,220.264,704.846
bebtelovimab,Whole_mAb,bebtelovimab.py,456,7.181,48960.202,0.561,-0.213,-0.219,1.544,526.316,175.439,526.316,219.298,263.158,833.333,175.439,526.316,526.316,833.333,87.719,219.298,482.456,482.456,219.298,1535.088,1096.491,614.035,219.298,438.596
becotatug,Whole_mAb,becotatug.py,452,5.038,49718.583,0.575,-0.346,-0.347,1.678,530.973,176.991,442.478,486.726,353.982,752.212,88.496,486.726,486.726,796.460,0.000,353.982,442.478,663.717,221.239,1283.186,1017.699,619.469,265.487,530.973
bedinvetmab,Whole_mAb,bedinvetmab.py,470,5.930,49858.949,0.502,-0.141,-0.143,1.678,553.191,170.213,468.085,297.872,340.426,1361.702,212.766,297.872,297.872,851.064,127.660,340.426,340.426,510.638,340.426,1191.489,765.957,893.617,212.766,425.532
belantamab,Whole_mAb,belantamab.py,456,8.841,50367.551,0.583,-0.476,-0.474,1.133,570.175,175.439,482.456,263.158,263.158,921.053,131.579,350.877,570.175,657.895,175.439,263.158,350.877,701.754,350.877,1315.789,877.193,614.035,263.158,701.754
belimumab,Whole_mAb,belimumab.py,462,7.132,49340.072,0.532,-0.362,-0.367,1.520,822.511,173.160,389.610,389.610,259.740,1082.251,129.870,303.030,259.740,649.351,173.160,389.610,432.900,649.351,519.481,1341.991,692.641,735.931,216.450,389.610
belrestotug,Whole_mAb,belrestotug.py,458,8.731,49977.294,0.546,-0.323,-0.321,1.678,655.022,174.672,305.677,436.681,305.677,1004.367,87.336,305.677,349.345,611.354,174.672,0.000,480.349,655.022,524.017,1397.380,917.031,742.358,262.009,611.354
bemarituzumab,Whole_mAb,bemarituzumab.py,442,8.681,48052.726,0.584,-0.419,-0.417,1.133,678.733,180.995,452.489,271.493,316.742,904.977,90.498,452.489,542.986,452.489,90.498,226.244,407.240,723.982,316.742,1357.466,995.475,678.733,180.995,678.733
benmelstobart,Whole_mAb,benmelstobart.py,446,8.446,49303.075,0.552,-0.253,-0.255,1.378,582.960,179.372,538.117,179.372,358.744,762.332,44.843,448.430,493.274,717.489,224.215,313.901,493.274,627.803,313.901,941.704,1255.605,672.646,224.215,627.803
benralizumab,Whole_mAb,benralizumab.py,456,8.843,50363.894,0.575,-0.395,-0.393,1.133,350.877,175.439,394.737,394.737,263.158,1052.632,87.719,482.456,526.316,701.754,131.579,219.298,394.737,614.035,438.596,1184.211,964.912,701.754,175.439,745.614
bentracimab,Whole_mAb,bentracimab.py,478,6.144,50637.616,0.510,-0.228,-0.233,1.656,878.661,167.364,502.092,251.046,292.887,1129.707,83.682,418.410,376.569,627.615,83.682,251.046,502.092,585.774,334.728,1338.912,711.297,711.297,251.046,502.092
betinukibart,Whole_mAb,betinukibart.py,458,5.777,50211.336,0.537,-0.293,-0.290,1.433,436.681,174.672,349.345,393.013,436.681,1048.035,174.672,305.677,480.349,611.354,131.004,305.677,524.017,611.354,131.004,1222.707,873.362,829.694,305.677,655.022
bevacizumab,Whole_mAb,bevacizumab.py,460,7.160,50807.853,0.557,-0.331,-0.329,1.722,565.217,173.913,391.304,304.348,434.783,956.522,130.435,304.348,391.304,652.174,130.435,260.870,434.783,608.696,304.348,1304.348,956.522,652.174,304.348,739.130
bezlotoxumab,Whole_mAb,bezlotoxumab.py,454,9.060,49753.037,0.546,-0.360,-0.358,1.678,616.740,176.211,308.370,396.476,352.423,1057.269,0.000,440.529,440.529,616.740,176.211,132.159,396.476,660.793,484.581,1541.850,748.899,528.634,352.423,572.687
bimekizumab,Whole_mAb,bimekizumab.py,464,8.065,51559.073,0.543,-0.354,-0.352,1.722,646.552,172.414,431.034,431.034,344.828,905.172,86.207,387.931,344.828,775.862,129.310,258.621,431.034,603.448,560.345,1163.793,775.862,646.552,301.724,603.448
bintrafusp,Whole_mAb,bintrafusp.py,460,8.735,48974.033,0.548,-0.180,-0.182,1.520,565.217,173.913,347.826,260.870,260.870,1130.435,43.478,391.304,347.826,695.652,173.913,304.348,347.826,478.261,391.304,1565.217,956.522,782.609,173.913,608.696
birtamimab,Whole_mAb,birtamimab.py,462,8.704,50742.245,0.550,-0.290,-0.288,1.644,519.481,173.160,432.900,346.320,389.610,909.091,129.870,346.320,432.900,735.931,129.870,303.030,476.190,476.190,476.190,1385.281,692.641,822.511,173.160,649.351
