Therapeutic,Total_SASA,Net_Charge,Hydro_SASA,Ch_A_Fv_Hydro,Ch_A_Fc_Hydro,Ch_A_Max_Patch,Ch_A_SASA,Ch_A_Charge,Ch_B_Fv_Hydro,Ch_B_Fc_Hydro,Ch_B_Max_Patch,Ch_B_SASA,Ch_B_Charge,Ch_C_Fv_Hydro,Ch_C_Fc_Hydro,Ch_C_Max_Patch,Ch_C_SASA,Ch_C_Charge,Ch_D_Fv_Hydro,Ch_D_Fc_Hydro,Ch_D_Max_Patch,Ch_D_SASA,Ch_D_Charge
Lebrikizumab,6153.37,-4,2524.72,0.541,0.4425,27.78,2027.03,1.7,0,0.2728,0,1049.66,-3.7,0.541,0.4425,27.78,2027.03,1.7,0,0.2728,0,1049.66,-3.7
Lecanemab,8093.95,14.8,2888.15,0.5244,0.2306,101.33,3276.01,6,0,0.38,0,770.36,1.4,0.5244,0.2304,101.33,3277.21,6,0,0.38,0,770.36,1.4
Lemzoparlimab,7660.32,7.8,3586.62,0.2814,0.6072,0,2682.18,3.7,0,0.4077,157.87,1147.97,0.2,0.2814,0.6072,0,2682.18,3.7,0,0.4077,157.87,1147.97,0.2
Lenvervimab,6919.24,14.2,3683.65,0.6265,0.4939,0,3029.93,6.9,0,0.3986,0,429.69,0.2,0.6265,0.4939,0,3029.93,6.9,0,0.3986,0,429.69,0.2
Lerdelimumab,9227.37,4.2,4150.67,0.3905,0.4241,54.18,2278.13,1.8,0,0.4865,204.68,2335.55,0.3,0.3905,0.4241,54.18,2278.13,1.8,0,0.4865,204.68,2335.55,0.3
Leronlimab,7003.15,2.4,2564.8,0.2593,0.4276,35.02,2368.2,1.7,0,0.37,0,1133.37,-0.5,0.2593,0.4276,35.02,2368.2,1.7,0,0.37,0,1133.37,-0.5
Levilimab,6828.2,10.4,2750.4,0.4104,0.4927,110.13,2586.55,7,0,0.2255,0,827.55,-1.8,0.4104,0.4927,110.13,2586.55,7,0,0.2255,0,827.55,-1.8
Ligelizumab,6423.88,2.8,2723.78,0.5413,0.349,0,2581.16,2.1,0,0.5143,64.42,630.78,-0.7,0.5413,0.349,0,2581.16,2.1,0,0.5143,64.42,630.78,-0.7
Ligufalimab,6469.92,6.4,2400.17,0.3563,0.4324,0,2040.9,2.9,0,0.3231,0,1194.06,0.3,0.3563,0.4324,0,2040.9,2.9,0,0.3231,0,1194.06,0.3
Lirentelimab,7613.94,8.6,3034.18,0.459,0.3587,0,2832.39,5,0,0.4154,0,974.58,-0.7,0.459,0.3587,0,2832.39,5,0,0.4154,0,974.58,-0.7
Litifilimab,8172.8,2.2,3892.56,0.4969,0.4978,0,3302.65,4.9,0,0.3871,0,783.75,-3.8,0.4969,0.4978,0,3302.65,4.9,0,0.3871,0,783.75,-3.8
Loncastuximab,7096.38,10.8,2969.05,0.5705,0.4116,131.87,2694.37,4,0,0.2697,0,853.83,1.4,0.5705,0.4116,131.87,2694.37,4,0,0.2697,0,853.83,1.4
Lusvertikimab,6399.06,4.2,2397.76,0.3831,0.3129,0,2297.26,3.8,0,0.4696,0,902.27,-1.7,0.3831,0.3129,0,2297.26,3.8,0,0.4696,0,902.27,-1.7
Magrolimab,6690.34,6.2,2769.58,0.4789,0.3605,0,2134.84,2.8,0,0.4176,0,1210.33,0.3,0.4789,0.3605,0,2134.84,2.8,0,0.4176,0,1210.33,0.3
Manfidokimab,7552.53,8.2,2680.6,0.2683,0.3161,0,2504.56,3.8,0,0.4758,0,1271.71,0.3,0.2683,0.3161,0,2504.56,3.8,0,0.4758,0,1271.71,0.3
Margetuximab,8923.76,13,3926.32,0.446,0.4935,0,2601.88,5,0,0.3845,152.02,1860,1.5,0.446,0.4935,0,2601.88,5,0,0.3845,152.02,1860,1.5
Marstacimab,6727.76,8.4,2866.65,0.5318,0.3842,0,2693.26,4.9,0,0.3449,0,670.62,-0.7,0.5318,0.3842,0,2693.26,4.9,0,0.3449,0,670.62,-0.7
Masavibart,6578.25,14.4,2554.54,0.5394,0.3457,97.09,2561.93,5.9,0,0.2653,0,727.19,1.3,0.5394,0.3457,97.09,2561.93,5.9,0,0.2653,0,727.19,1.3
Mazorelvimab,7659.36,10.2,3477.12,0.5219,0.4305,0,2950.77,6.9,0,0.4191,16.63,878.91,-1.8,0.5219,0.4305,0,2950.77,6.9,0,0.4191,16.63,878.91,-1.8
Mepolizumab,7061.69,12.6,2560.54,0.2979,0.4891,0,2362.53,7,0,0.27,0,1168.32,-0.7,0.2979,0.4891,0,2362.53,7,0,0.27,0,1168.32,-0.7
Mevonlerbart,9272.32,5.8,3957.8,0.3328,0.4964,0,2504.64,0.7,0,0.4229,2.14,2131.52,2.2,0.3328,0.4964,0,2504.64,0.7,0,0.4229,2.14,2131.52,2.2
Mibavademab,7740.19,7.8,2542.67,0.2807,0.348,99.62,3021.78,2.7,0,0.344,71.55,848.31,1.2,0.2807,0.348,99.62,3021.78,2.7,0,0.344,71.55,848.31,1.2
Mirikizumab,7349.24,10.2,2652.35,0.2155,0.3361,0,2117.91,4.8,0,0.4697,0,1556.71,0.3,0.2155,0.3361,0,2117.91,4.8,0,0.4697,0,1556.71,0.3
Mirvetuximab,8767.17,9,2902.75,0.3623,0.4378,12.08,2799.24,5.1,0,0.1942,0,1584.34,-0.6,0.3623,0.4378,12.08,2799.24,5.1,0,0.1942,0,1584.34,-0.6
Modotuximab,7385.96,6.8,4000.13,0.4945,0.5506,0,2502.17,4.1,0,0.5604,57.05,1190.8,-0.7,0.4945,0.5506,0,2502.17,4.1,0,0.5604,57.05,1190.8,-0.7
Mogamulizumab,7061.82,10.6,2414.8,0.4587,0.2897,0,2784.1,6,0,0.2401,0,746.81,-0.7,0.4587,0.2897,0,2784.1,6,0,0.2401,0,746.81,-0.7
Monalizumab,6589.97,2.4,2199.14,0.4112,0.2556,0,2710.45,-0.2,0,0.3923,0,584.54,1.4,0.4112,0.2556,0,2710.45,-0.2,0,0.3923,0,584.54,1.4
Motavizumab,7556.36,14.6,2970.34,0.3582,0.5242,0,2482.14,6,0,0.2416,0,1296.04,1.3,0.3582,0.5242,0,2482.14,6,0,0.2416,0,1296.04,1.3
Nadunolimab,6661.23,8.8,3395.09,0.5005,0.5877,0,2355.03,5,0,0.4212,0,975.58,-0.6,0.5005,0.5877,0,2355.03,5,0,0.4212,0,975.58,-0.6
Narlumosbart,7214.58,7.8,2300.69,0.3211,0.2447,0,2313.81,0.7,0,0.4163,1.21,1293.48,3.2,0.3211,0.2447,0,2313.81,0.7,0,0.4163,1.21,1293.48,3.2
Natalizumab,6477.7,6.2,1627.77,0.3208,0.2053,0,2417.31,2.8,0,0.2531,86.15,821.54,0.3,0.3208,0.2053,0,2417.31,2.8,0,0.2531,86.15,821.54,0.3
Naxitamab,6336.74,14.6,2673.09,0.5011,0.323,0,2383.45,8.1,0,0.5179,1.21,784.92,-0.8,0.5011,0.323,0,2383.45,8.1,0,0.5179,1.21,784.92,-0.8
Necitumumab,7622.73,10.4,3301.16,0.42,0.428,0,2295.55,5.9,0,0.4445,74.87,1515.81,-0.7,0.42,0.428,0,2295.55,5.9,0,0.4445,74.87,1515.81,-0.7
Nemolizumab,6902.55,-9.6,2850.67,0.2697,0.5013,0,2473.67,-1.2,0,0.4349,36.47,977.6,-3.6,0.2697,0.5013,0,2473.67,-1.2,0,0.4349,36.47,977.6,-3.6
Nepuvibart,6257.66,8.2,2902.95,0.6529,0.3879,0,2302.13,6.9,0,0.3654,18.11,826.69,-2.8,0.6529,0.3879,0,2302.13,6.9,0,0.3654,18.11,826.69,-2.8
Netakimab,6977.97,12.2,2633.35,0.408,0.3824,37.01,2701.31,6.9,0,0.3302,0,787.67,-0.8,0.408,0.3824,37.01,2701.31,6.9,0,0.3302,0,787.67,-0.8
Nimotuzumab,7514.09,12.6,2867.58,0.2988,0.441,0,3342.85,4.9,0,0.3061,0,414.19,1.4,0.2988,0.441,0,3342.85,4.9,0,0.3061,0,414.19,1.4
Nirsevimab,7278.46,-9.4,3136.8,0.4664,0.4215,0,2875.79,-1.9,0,0.4315,0,763.44,-2.8,0.4664,0.4215,0,2875.79,-1.9,0,0.4315,0,763.44,-2.8
Nisevokitug,7524.43,0.2,2410.08,0.2893,0.3558,0,2465.89,3.8,0,0.3066,0,1296.33,-3.7,0.2893,0.3558,0,2465.89,3.8,0,0.3066,0,1296.33,-3.7
Nivolumab,9034.74,6,3428.85,0.3531,0.336,32.26,2381.19,2.8,0,0.4208,92.11,2136.17,0.2,0.3531,0.336,32.26,2381.19,2.8,0,0.4208,92.11,2136.17,0.2
Nofazinlimab,6887.52,4,2617.72,0.1802,0.3707,0,2122.6,2.7,0,0.5291,149.42,1321.16,-0.7,0.1802,0.3707,0,2122.6,2.7,0,0.5291,149.42,1321.16,-0.7
Obexelimab,7730.77,8.6,3281.97,0.4725,0.4207,0,2883.15,6,0,0.3667,19.32,982.24,-1.7,0.4725,0.4207,0,2883.15,6,0,0.3667,19.32,982.24,-1.7
Obiltoxaximab,7469.62,16.2,2581.78,0.5109,0.2811,0,3059.88,6.9,0,0.1914,0,674.94,1.2,0.5109,0.2811,0,3059.88,6.9,0,0.1914,0,674.94,1.2
Obinutuzumab,7660.76,10.4,2331.88,0.3919,0.313,0,2880.66,6.9,0,0.1668,0,949.72,-1.7,0.3919,0.313,0,2880.66,6.9,0,0.1668,0,949.72,-1.7
Ociperlimab,6361.91,10.4,2482.79,0.4832,0.2665,23.88,2185.25,4.9,0,0.5044,179.86,995.7,0.3,0.4832,0.2665,23.88,2185.25,4.9,0,0.5044,179.86,995.7,0.3
Ocrelizumab,7619.19,16.6,3284.58,0.5373,0.368,0,2437.1,7,0,0.4232,0,1372.49,1.3,0.5373,0.368,0,2437.1,7,0,0.4232,0,1372.49,1.3
Odesivimab,7663.24,8.4,2740.36,0.3559,0.3917,0,2966.24,5,0,0.2958,16.91,865.37,-0.8,0.3559,0.3917,0,2966.24,5,0,0.2958,16.91,865.37,-0.8
Ofatumumab,7808.45,12.4,3729.13,0.5055,0.4982,0,3529.6,6,0,0.2576,3.21,374.63,0.2,0.5055,0.4982,0,3529.6,6,0,0.2576,3.21,374.63,0.2
Olaratumab,8401.41,12.2,3380.38,0.3003,0.388,0,2852.2,5.9,0,0.4907,26.57,1348.5,0.2,0.3003,0.388,0,2852.2,5.9,0,0.4907,26.57,1348.5,0.2
Oleclumab,6072.69,14.4,2096.34,0.4069,0.3005,0,2266.24,7.9,0,0.3383,0,770.11,-0.7,0.4069,0.3005,0,2266.24,7.9,0,0.3383,0,770.11,-0.7
Olokizumab,7897.82,-4,2921.08,0.5921,0.1896,0,2439.48,-0.3,0,0.3649,0,1509.43,-1.7,0.5921,0.1896,0,2439.48,-0.3,0,0.3649,0,1509.43,-1.7
Omalizumab,7871.85,3,3056.87,0.3513,0.5016,0,2861.63,6.2,0,0.2524,12.08,1074.29,-4.7,0.3513,0.5016,0,2861.63,6.2,0,0.2524,12.08,1074.29,-4.7
Omectatug,7767.52,16.4,3268.73,0.4875,0.4054,0,2631.54,8,0,0.3801,3.62,1252.21,0.2,0.4875,0.4054,0,2631.54,8,0,0.3801,3.62,1252.21,0.2
Ongericimab,6952.08,4.6,2079.66,0.4457,0.2036,0,2063.14,3.9,0,0.346,0,1412.9,-1.6,0.4457,0.2036,0,2063.14,3.9,0,0.346,0,1412.9,-1.6
Ontamalimab,6669.94,2.2,2447.31,0.2953,0.341,0,2362.88,2.8,0,0.4809,15.41,972.09,-1.7,0.2953,0.341,0,2362.88,2.8,0,0.4809,15.41,972.09,-1.7
Ormutivimab,6951.11,10.4,2854.05,0.5767,0.3594,0,2571.5,4.9,0,0.3442,0,904.06,0.3,0.5767,0.3594,0,2571.5,4.9,0,0.3442,0,904.06,0.3
Otilimab,6633.53,18.2,2765.21,0.5221,0.3427,0,1943.13,7.9,0,0.4428,70.57,1373.63,1.2,0.5221,0.3427,0,1943.13,7.9,0,0.4428,70.57,1373.63,1.2
Pabinafusp,6644.84,12.8,3346.36,0.579,0.4318,0,2452.61,4.9,0,0.5885,0,869.81,1.5,0.579,0.4318,0,2452.61,4.9,0,0.5885,0,869.81,1.5
Palivizumab,7108.74,16.4,3298.81,0.5792,0.568,0,2309.39,6.9,0,0.2645,0,1244.98,1.3,0.5792,0.568,0,2309.39,6.9,0,0.2645,0,1244.98,1.3
Pamrevlumab,6085.52,12.6,2679.49,0.55,0.4097,51.93,2165.28,6.1,0,0.3833,50.72,877.48,0.2,0.55,0.4097,51.93,2165.28,6.1,0,0.3833,50.72,877.48,0.2
Panitumumab,7348.13,-1.4,2351.02,0.2352,0.3989,0,2228.41,2.9,0,0.3154,0,1445.66,-3.6,0.2352,0.3989,0,2228.41,2.9,0,0.3154,0,1445.66,-3.6
Paridiprubart,6703.55,11.4,2407.09,0.2688,0.3751,0,2160.4,7.1,0,0.4101,0,1191.37,-1.4,0.2688,0.3751,0,2160.4,7.1,0,0.4101,0,1191.37,-1.4
Patritumab,6431.7,12.4,3062.88,0.6289,0.4993,0,2216.23,8,0,0.339,19.32,999.62,-1.8,0.6289,0.4993,0,2216.23,8,0,0.339,19.32,999.62,-1.8
Pembrolizumab,7170.55,4.2,2908.86,0.5211,0.4421,134.34,2549.45,2.7,0,0.2202,0,1035.83,-0.6,0.5211,0.4421,134.34,2549.45,2.7,0,0.2202,0,1035.83,-0.6
Pemivibart,7567.45,2.4,2091.01,0.4603,0.1416,0,3104.77,2.9,0,0.2771,0,678.96,-1.7,0.4603,0.1416,0,3104.77,2.9,0,0.2771,0,678.96,-1.7
Penpulimab,7189.48,12.2,2394.47,0.3224,0.4321,58.9,2972.43,5.9,0,0.1054,0,622.31,0.2,0.3224,0.4321,58.9,2972.43,5.9,0,0.1054,0,622.31,0.2
Pertuzumab,7243.97,12.2,3124.52,0.4456,0.3421,0,2267.41,4.9,0,0.522,0,1354.58,1.2,0.4456,0.3421,0,2267.41,4.9,0,0.522,0,1354.58,1.2
Polatuzumab,6519.52,-1.8,2988.43,0.4655,0.4689,0,2051.78,3.9,0,0.4425,4.72,1207.98,-4.8,0.4655,0.4689,0,2051.78,3.9,0,0.4425,4.72,1207.98,-4.8
Pozelimab,5954.47,3.8,2650.93,0.5132,0.4466,0,1987.79,-0.3,0,0.3837,3.62,989.44,2.2,0.5132,0.4466,0,1987.79,-0.3,0,0.3837,3.62,989.44,2.2
Prolgolimab,6878.34,18.4,2913.17,0.5251,0.2766,36.99,2192.6,6.9,0,0.4693,0,1246.57,2.3,0.5251,0.2766,36.99,2192.6,6.9,0,0.4693,0,1246.57,2.3
Pucotenlimab,6513.17,5.8,3029.53,0.6122,0.4503,99.1,2140.62,3.7,0,0.3298,0,1115.97,-0.8,0.6122,0.4503,99.1,2140.62,3.7,0,0.3298,0,1115.97,-0.8
Pulocimab,5946.94,14.2,2298.72,0.482,0.2897,93.19,2149.47,6.9,0,0.4013,0,824,0.2,0.482,0.2897,93.19,2149.47,6.9,0,0.4013,0,824,0.2
Racotumomab,6456.13,4.4,2528.65,0.4102,0.3971,0,2297.2,3.9,0,0.3668,0,930.86,-1.7,0.4102,0.3971,0,2297.2,3.9,0,0.3668,0,930.86,-1.7
Rademikibart,9283.83,6,3487.59,0.2938,0.4203,0,2544.63,3.7,0,0.3827,200.35,2097.29,-0.7,0.2938,0.4203,0,2544.63,3.7,0,0.3827,200.35,2097.29,-0.7
Ramucirumab,5973.33,14.2,2263.37,0.4855,0.2889,90.89,2132.89,6.9,0,0.3604,0,853.77,0.2,0.4855,0.2889,90.89,2132.89,6.9,0,0.3604,0,853.77,0.2
Ravulizumab,7136.99,-1.6,2737.98,0.434,0.309,0,2283.62,1,0,0.428,0,1284.88,-1.8,0.434,0.309,0,2283.62,1,0,0.428,0,1284.88,-1.8
Recaticimab,8559.94,16.6,4287.51,0.6395,0.3864,0,3048.53,4.1,0,0.4816,0,1231.44,4.2,0.6395,0.3864,0,3048.53,4.1,0,0.4816,0,1231.44,4.2
Regdanvimab,7412.34,14.4,3000.06,0.3481,0.5704,0,2856.04,9,0,0.0822,0,850.13,-1.8,0.3481,0.5704,0,2856.04,9,0,0.0822,0,850.13,-1.8
Relatlimab,6032.4,0,2573.35,0.3861,0.4655,0,2070.76,0.8,0,0.4071,0,945.44,-0.8,0.3861,0.4655,0,2070.76,0.8,0,0.4071,0,945.44,-0.8
Remternetug,7607.81,12.4,3167.77,0.475,0.4116,0,3424.99,4.9,0,0.2436,0,378.92,1.3,0.475,0.4116,0,3424.99,4.9,0,0.2436,0,378.92,1.3
Reslizumab,9627.15,-0.2,3813.24,0.3471,0.4036,0,2795.81,-0.3,0,0.4184,81.32,2017.76,0.2,0.3471,0.4036,0,2795.81,-0.3,0,0.4184,81.32,2017.76,0.2
Retifanlimab,7542.08,-3.6,3051.05,0.4554,0.3068,0,2414.67,0.9,0,0.4657,0,1356.37,-2.7,0.4554,0.3068,0,2414.67,0.9,0,0.4657,0,1356.37,-2.7
Riliprubart,6884.11,-15.8,2473.66,0.4124,0.2898,0,2130.47,0.9,0,0.4097,38.9,1311.58,-8.8,0.4124,0.2898,0,2130.47,0.9,0,0.4097,38.9,1311.58,-8.8
Rinatabart,6396.14,20.4,2612.11,0.6367,0.3454,138.2,2423.9,9,0,0.3419,25.13,774.17,1.2,0.6367,0.3454,138.2,2423.9,9,0,0.3419,25.13,774.17,1.2
Ripertamab,7839.3,20.6,2851.45,0.5552,0.4218,0,2370.31,8,0,0.2186,0,1549.34,2.3,0.5552,0.4218,0,2370.31,8,0,0.2186,0,1549.34,2.3
Risankizumab,8155.71,16.8,3861.38,0.3615,0.5148,37.01,2570.77,6,0,0.4739,287.7,1507.08,2.4,0.3615,0.5148,37.01,2570.77,6,0,0.4739,287.7,1507.08,2.4
Rituximab,7839.3,20.6,2851.45,0.5552,0.4218,0,2370.31,8,0,0.2186,0,1549.34,2.3,0.5552,0.4218,0,2370.31,8,0,0.2186,0,1549.34,2.3
Rocatinlimab,7601.17,16.8,3570.5,0.4826,0.5883,99.77,2165.66,9.2,0,0.3701,48.83,1634.92,-0.8,0.4826,0.5883,99.77,2165.66,9.2,0,0.3701,48.83,1634.92,-0.8
Roconkibart,6831.29,2.6,2720.87,0.4346,0.402,0,2174.68,-0.2,0,0.373,0,1240.97,1.5,0.4346,0.402,0,2174.68,-0.2,0,0.373,0,1240.97,1.5
Romosozumab,6630.1,-1.8,2487.24,0.4443,0.3177,0,2638.71,-1.1,0,0.3781,0,676.34,0.2,0.4443,0.3177,0,2638.71,-1.1,0,0.3781,0,676.34,0.2
Rosopatamab,7658.57,2.6,3885.66,0.5757,0.5005,0,2660.42,3,0,0.459,77.15,1168.87,-1.7,0.5757,0.5005,0,2660.42,3,0,0.459,77.15,1168.87,-1.7
Rovelizumab,7593.61,-2,3400.27,0.4341,0.6097,0,2339.31,3.7,0,0.3025,0,1457.5,-4.7,0.4341,0.6097,0,2339.31,3.7,0,0.3025,0,1457.5,-4.7
Rozanolixizumab,6247.65,6.2,2668.1,0.4369,0.3666,28.53,1724.69,0.7,0,0.4714,0,1399.13,2.4,0.4369,0.3666,28.53,1724.69,0.7,0,0.4714,0,1399.13,2.4
Sabatolimab,7140.66,6,2903.11,0.4986,0.4344,0,2145.91,2.8,0,0.3166,15.7,1424.42,0.2,0.4986,0.4344,0,2145.91,2.8,0,0.3166,15.7,1424.42,0.2
Sacituzumab,7624.84,14.4,2885.72,0.4974,0.3139,0,2342.67,6.9,0,0.3661,90.26,1469.75,0.3,0.4974,0.3139,0,2342.67,6.9,0,0.3661,90.26,1469.75,0.3
Sarilumab,5379.58,10.4,2157.96,0.5311,0.3305,0,1985.96,5,0,0.3416,12.08,703.83,0.2,0.5311,0.3305,0,1985.96,5,0,0.3416,12.08,703.83,0.2
Sasanlimab,8028.93,4,3023.96,0.2169,0.4737,0,2292.26,4.7,0,0.4018,159.27,1722.2,-2.7,0.2169,0.4737,0,2292.26,4.7,0,0.4018,159.27,1722.2,-2.7
Satralizumab,6967.24,-11,2964.81,0.3108,0.4678,0,2200.49,0.1,0,0.4886,26.57,1283.13,-5.6,0.3108,0.4678,0,2200.49,0.1,0,0.4886,26.57,1283.13,-5.6
Satumomab,7315.05,11,3517.42,0.4213,0.6294,0,2482.51,6.2,0,0.2786,7.25,1175.01,-0.7,0.4213,0.6294,0,2482.51,6.2,0,0.2786,7.25,1175.01,-0.7
Secukinumab,6628.54,8.4,2709.41,0.4453,0.4799,71.57,2716.17,4,0,0.1565,2.42,598.1,0.2,0.4453,0.4799,71.57,2716.17,4,0,0.1565,2.42,598.1,0.2
Semzuvolimab,7153.61,6.6,2715.48,0.4844,0.411,0,2389.21,7,0,0.2702,0,1187.6,-3.7,0.4844,0.411,0,2389.21,7,0,0.2702,0,1187.6,-3.7
Seniprutug,6514.45,10.6,2599.64,0.5425,0.3702,0,2582.89,5,0,0.3066,6.04,674.34,0.3,0.5425,0.3702,0,2582.89,5,0,0.3066,6.04,674.34,0.3
Serplulimab,7798.87,8.2,3016.5,0.2915,0.5453,0,2714.76,2.7,0,0.352,43.2,1184.67,1.4,0.2915,0.5453,0,2714.76,2.7,0,0.352,43.2,1184.67,1.4
Setrusumab,7684.64,-1.4,2421.66,0.2321,0.3249,0,2602.35,3,0,0.3525,0,1239.97,-3.7,0.2321,0.3249,0,2602.35,3,0,0.3525,0,1239.97,-3.7
Sibeprenlimab,6472.94,12.6,2804.94,0.5539,0.4445,0,2497.34,5,0,0.2121,0,739.13,1.3,0.5539,0.4445,0,2497.34,5,0,0.2121,0,739.13,1.3
Sigvotatug,6725.35,16.2,2935.38,0.424,0.5244,0,2286,9.9,0,0.351,0,1076.68,-1.8,0.424,0.5244,0,2286,9.9,0,0.351,0,1076.68,-1.8
Siltartoxatug,6594.87,16.4,2825.19,0.4445,0.4956,0,2331.07,8,0,0.3092,0,966.37,0.2,0.4445,0.4956,0,2331.07,8,0,0.3092,0,966.37,0.2
Siltuximab,7122.96,10.2,2701.43,0.3735,0.3605,0,2482.02,4.9,0,0.4124,92.83,1080.06,0.2,0.3741,0.3605,0,2480.81,4.9,0,0.4124,92.83,1080.06,0.2
Sintilimab,6974.79,2.2,3519.84,0.5997,0.5519,0,2464.41,-0.2,0,0.3455,22.94,1022.98,1.3,0.5997,0.5519,0,2464.41,-0.2,0,0.3455,22.94,1022.98,1.3
Socazolimab,7525.27,8.4,3081.06,0.4832,0.4273,190.25,2621.62,3.9,0,0.3211,0,1141.01,0.3,0.4832,0.4273,190.25,2621.62,3.9,0,0.3211,0,1141.01,0.3
Solanezumab,6585.86,14.6,2494.38,0.5194,0.2574,0,2013.05,5.9,0,0.3948,0,1279.88,1.4,0.5194,0.2574,0,2013.05,5.9,0,0.3948,0,1279.88,1.4
Sonesitatug,7492.69,14.2,3229.32,0.4535,0.5179,0,2567.07,7.9,0,0.2928,42.37,1179.28,-0.8,0.4535,0.5179,0,2567.07,7.9,0,0.2928,42.37,1179.28,-0.8
Spesolimab,8267.77,17,3030.69,0.4322,0.4276,0,1950.12,6,0,0.3105,0,2183.76,2.5,0.4322,0.4276,0,1950.12,6,0,0.3105,0,2183.76,2.5
Stapokibart,7487.01,8,3476.3,0.4401,0.427,0,2126.55,3.7,0,0.5058,0,1616.96,0.3,0.4401,0.427,0,2126.55,3.7,0,0.5058,0,1616.96,0.3
Sugemalimab,6878.37,0.2,2487.29,0.3466,0.3522,0,2082.2,2.7,0,0.3794,51.93,1356.98,-2.6,0.3466,0.3522,0,2082.2,2.7,0,0.3794,51.93,1356.98,-2.6
Suptavumab,7317.5,10.4,3351.72,0.5818,0.3911,0,3170.62,4,0,0.3933,8.45,488.13,1.2,0.5818,0.3911,0,3170.62,4,0,0.3933,8.45,488.13,1.2
Sutimlimab,6469.93,10.4,3129.48,0.5663,0.4165,0,1874.3,2.8,0,0.4704,0,1360.66,2.4,0.5663,0.4165,0,1874.3,2.8,0,0.4704,0,1360.66,2.4
Suvemcitug,6968.84,8.2,2860.28,0.6664,0.3962,0,2620.68,3.9,0,0.1228,0,863.74,0.2,0.6664,0.3962,0,2620.68,3.9,0,0.1228,0,863.74,0.2
Suvratoxumab,6557.16,12.8,2425.27,0.4336,0.3273,0,2413.33,5.2,0,0.3975,1.21,865.25,1.2,0.4336,0.3273,0,2413.33,5.2,0,0.3975,1.21,865.25,1.2
Tabalumab,5997.73,8,1741.14,0.282,0.231,1.21,2278.64,1.8,0,0.4342,0,720.22,2.2,0.282,0.231,1.21,2278.64,1.8,0,0.4342,0,720.22,2.2
Tafasitamab,7730.77,8.6,3281.97,0.4725,0.4207,0,2883.15,6,0,0.3667,19.32,982.24,-1.7,0.4725,0.4207,0,2883.15,6,0,0.3667,19.32,982.24,-1.7
Tafolecimab,6430.75,12,2533.24,0.3651,0.3962,0,2170.22,4.8,0,0.4136,0,1045.15,1.2,0.3651,0.3962,0,2170.22,4.8,0,0.4136,0,1045.15,1.2
Tagitanlimab,7032.63,10.4,3471.77,0.5986,0.4894,0,2479.48,5.9,0,0.4191,0,1036.84,-0.7,0.5986,0.4894,0,2479.48,5.9,0,0.4191,0,1036.84,-0.7
Tanezumab,5652.96,6.4,1899.45,0.3841,0.2815,0,2236.95,1.8,0,0.4242,2.42,589.53,1.4,0.3841,0.2815,0,2236.95,1.8,0,0.4242,2.42,589.53,1.4
Tarcocimab,7123.51,6.8,2893.66,0.5705,0.2856,0,3139.65,4.1,0,0.3923,0,422.11,-0.7,0.5705,0.2856,0,3139.65,4.1,0,0.3923,0,422.11,-0.7
Telikibart,7335.53,14.2,3039.19,0.4517,0.369,0,3085.93,7.9,0,0.4253,2.42,581.83,-0.8,0.4517,0.369,0,3085.93,7.9,0,0.4253,2.42,581.83,-0.8
Teplizumab,6293.38,20.6,2101.65,0.353,0.4093,0,2040.38,10.1,0,0.2256,0,1106.31,0.2,0.353,0.4093,0,2040.38,10.1,0,0.2256,0,1106.31,0.2
Teprotumumab,5775.08,20.4,2102.49,0.5085,0.3635,38.64,2111.12,8,0,0.2054,21.31,776.42,2.2,0.5085,0.3635,38.64,2111.12,8,0,0.2054,21.31,776.42,2.2
Tezepelumab,7106.37,3,2087.39,0.3009,0.2941,80.18,2039.1,4.1,0,0.2893,2.42,1514.09,-2.6,0.3009,0.2941,80.18,2039.1,4.1,0,0.2893,2.42,1514.09,-2.6
Tifcemalimab,7861.9,4.4,2950.74,0.4883,0.3073,0,2386.68,2,0,0.411,57.15,1544.28,0.2,0.4883,0.3073,0,2386.68,2,0,0.411,57.15,1544.28,0.2
Tildrakizumab,6454.1,12.6,2852.72,0.5211,0.4202,0,2502.22,5.9,0,0.3746,5.49,724.83,0.4,0.5211,0.4202,0,2502.22,5.9,0,0.3746,5.49,724.83,0.4
Tiragolumab,6413.82,8.2,2767.75,0.4175,0.4734,0,2774.08,4.9,0,0.2895,7.11,432.83,-0.8,0.4175,0.4734,0,2774.08,4.9,0,0.2895,7.11,432.83,-0.8
Tislelizumab,6197.61,0.4,2436.59,0.5334,0.4137,0,1668.6,2.8,0,0.303,0,1430.2,-2.6,0.5334,0.4137,0,1668.6,2.8,0,0.303,0,1430.2,-2.6
Tisotumab,7306.67,12.2,2730.35,0.5449,0.2859,0,3103.68,4.9,0,0.1601,0,549.65,1.2,0.5449,0.2859,0,3103.68,4.9,0,0.1601,0,549.65,1.2
Tixagevimab,7576.02,16.4,3649.4,0.6,0.445,0,2874.54,6.9,0,0.3991,4.37,913.47,1.3,0.6,0.445,0,2874.54,6.9,0,0.3991,4.37,913.47,1.3
Tizetatug,7946.06,14.4,3225.12,0.5587,0.3814,0,2440.18,6.9,0,0.3373,31.4,1532.85,0.3,0.5587,0.3814,0,2440.18,6.9,0,0.3373,31.4,1532.85,0.3
